Species common name,nest_height,scientific_name,common_name
Black-headed Myzomela,NA,Myzomela melanocephala,Black-headed Myzomela
Black-headed Nightingale-thrush,2.5,Catharus mexicanus,Black-headed Nightingale-thrush
Black-headed Paradise-kingfisher,7.5,Tanysiptera nigriceps,Black-headed Paradise-kingfisher
Black-headed Parrot,NA,Pionites melanocephalus,Black-headed Parrot
Black-headed Parrotbill,NA,Psittiparus margaritae,Black-headed Parrotbill
Black-headed Penduline-tit,1.8,Remiz macronyx,Black-headed Penduline-tit
Black-headed Rufous-warbler,NA,Bathmocercus cerviniventris,Black-headed Rufous-warbler
Black-headed Saltator,2.75,Saltator atriceps,Black-headed Saltator
Black-headed Shrike-babbler,NA,Pteruthius rufiventer,Black-headed Shrike-babbler
Black-headed Sibia,NA,Heterophasia desgodinsi,Black-headed Sibia
Black-headed Siskin,NA,Spinus notatus,Black-headed Siskin
Black-headed Tailorbird,NA,Orthotomus nigriceps,Black-headed Tailorbird
Black-headed Tanager,NA,Tangara argentea,Black-headed Tanager
Black-headed Tody-flycatcher,10.5,Todirostrum nigriceps,Black-headed Tody-flycatcher
Black-headed Trogon,5.3,Trogon melanocephalus,Black-headed Trogon
Black-headed Waxbill,2,Estrilda atricapilla,Black-headed Waxbill
Black-headed Weaver,NA,Ploceus melanocephalus,Black-headed Weaver
Black-headed Whistler,18.5,Pachycephala monacha,Black-headed Whistler
Black-headed Woodpecker,NA,Picus erythropygius,Black-headed Woodpecker
Black-hooded Antshrike,2.4,Thamnophilus bridgesi,Black-hooded Antshrike
Black-hooded Antwren,0.76,Formicivora erythronotos,Black-hooded Antwren
Black-hooded Coucal,NA,Centropus steerii,Black-hooded Coucal
Black-hooded Laughingthrush,NA,Garrulax milleti,Black-hooded Laughingthrush
Black-hooded Oriole,NA,Oriolus xanthornus,Black-hooded Oriole
Black-hooded Sierra-finch,NA,Phrygilus atriceps,Black-hooded Sierra-finch
Black-hooded Sunbeam,NA,Aglaeactis pamela,Black-hooded Sunbeam
Black-hooded Tanager,NA,Tangara whitelyi,Black-hooded Tanager
Black-hooded Thrush,NA,Turdus olivater,Black-hooded Thrush
Black-legged Dacnis,11.25,Dacnis nigripes,Black-legged Dacnis
Black-legged Kittiwake,9.5,Rissa tridactyla,Black-legged Kittiwake
Black-legged Parrot,NA,Pionites xanthomerius,Black-legged Parrot
Black-legged Seriema,NA,Chunga burmeisteri,Black-legged Seriema
Black-lored Babbler,NA,Turdoides sharpei,Black-lored Babbler
Black-lored Cisticola,1.6,Cisticola nigriloris,Black-lored Cisticola
Black-lored Parrot,NA,Tanygnathus gramineus,Black-lored Parrot
Black-lored Tit,NA,Machlolophus xanthogenys,Black-lored Tit
Black-lored Waxbill,NA,Estrilda nigriloris,Black-lored Waxbill
Black-lored Yellowthroat,NA,Geothlypis auricularis,Black-lored Yellowthroat
Black-mantled Goshawk,NA,Accipiter melanochlamys,Black-mantled Goshawk
Black-masked Finch,NA,Coryphaspiza melanotis,Black-masked Finch
Black-naped Fruit-dove,NA,Ptilinopus melanospilus,Black-naped Fruit-dove
Black-naped Monarch,5.1,Hypothymis azurea,Black-naped Monarch
Black-naped Oriole,NA,Oriolus chinensis,Black-naped Oriole
Black-naped Pheasant-pigeon,NA,Otidiphaps insularis,Black-naped Pheasant-pigeon
Black-naped Tern,NA,Sterna sumatrana,Black-naped Tern
Black-naped Woodpecker,5.2,Picus guerini,Black-naped Woodpecker
Black-necked Araçari,NA,Pteroglossus aracari,Black-necked Araçari
Black-necked Crane,0,Grus nigricollis,Black-necked Crane
Black-necked Eremomela,9.5,Eremomela atricollis,Black-necked Eremomela
Black-necked Grebe,0.0375,Podiceps nigricollis,Black-necked Grebe
Black-necked Red Cotinga,NA,Phoenicircus nigricollis,Black-necked Red Cotinga
Black-necked Stork,NA,Ephippiorhynchus asiaticus,Black-necked Stork
Black-necked Swan,0,Cygnus melancoryphus,Black-necked Swan
Black-necked Wattle-eye,0.9,Dyaphorophyia chalybea,Black-necked Wattle-eye
Black-necked Weaver,NA,Ploceus nigricollis,Black-necked Weaver
Black-necked Woodpecker,NA,Colaptes atricollis,Black-necked Woodpecker
Black-necklaced Honeyeater,NA,Lichmera notabilis,Black-necklaced Honeyeater
Black-necklaced Scimitar-babbler,NA,Erythrogenys erythrocnemis,Black-necklaced Scimitar-babbler
Black-nest Swiftlet,NA,Aerodramus maximus,Black-nest Swiftlet
Black-polled Yellowthroat,NA,Geothlypis speciosa,Black-polled Yellowthroat
Black-ringed White-eye,NA,Zosterops anomalus,Black-ringed White-eye
Black-rumped Buttonquail,0,Turnix nanus,Black-rumped Buttonquail
Black-rumped Flameback,9,Dinopium benghalense,Black-rumped Flameback
Black-rumped Waxbill,0,Estrilda troglodytes,Black-rumped Waxbill
Black-shouldered Cicadabird,NA,Edolisoma incertum,Black-shouldered Cicadabird
Black-shouldered Kite,21.5,Elanus axillaris,Black-shouldered Kite
Black-shouldered Lapwing,0,Vanellus novaehollandiae,Black-shouldered Lapwing
Black-sided Flowerpecker,NA,Dicaeum monticolum,Black-sided Flowerpecker
Black-sided Robin,NA,Poecilodryas hypoleuca,Black-sided Robin
Black-spectacled Brush-finch,NA,Atlapetes melanopsis,Black-spectacled Brush-finch
Black-spotted Barbet,11,Capito niger,Black-spotted Barbet
Black-spotted Bare-eye,1.3,Phlegopsis nigromaculata,Black-spotted Bare-eye
Black-spotted Piculet,NA,Picumnus nigropunctatus,Black-spotted Piculet
Black-streaked Puffbird,NA,Malacoptila fulvogularis,Black-streaked Puffbird
Black-streaked Scimitar-babbler,0.75,Erythrogenys gravivox,Black-streaked Scimitar-babbler
Black-striped Sparrow,NA,Arremonops conirostris,Black-striped Sparrow
Black-striped Woodcreeper,3.6,Xiphorhynchus lachrymosus,Black-striped Woodcreeper
Black-tailed Antbird,0,Myrmoborus melanurus,Black-tailed Antbird
Black-tailed Cacique,NA,Cacicus vitellinus,Black-tailed Cacique
Black-tailed Cisticola,NA,Cisticola melanurus,Black-tailed Cisticola
Black-tailed Crake,3.5,Zapornia bicolor,Black-tailed Crake
Black-tailed Flycatcher,1.9,Myiobius atricaudus,Black-tailed Flycatcher
Black-tailed Gnatcatcher,3.1,Polioptila melanura,Black-tailed Gnatcatcher
Black-tailed Godwit,NA,Limosa limosa,Black-tailed Godwit
Black-tailed Gull,NA,Larus crassirostris,Black-tailed Gull
Black-tailed Leaftosser,0,Sclerurus caudacutus,Black-tailed Leaftosser
Black-tailed Monarch,2.25,Symposiachrus verticalis,Black-tailed Monarch
Black-tailed Native-hen,0.4,Tribonyx ventralis,Black-tailed Native-hen
Black-tailed Trainbearer,NA,Lesbia victoriae,Black-tailed Trainbearer
Black-tailed Treecreeper,8.15,Climacteris melanurus,Black-tailed Treecreeper
Black-tailed Trogon,NA,Trogon melanurus,Black-tailed Trogon
Black-tailed Waxbill,3.75,Estrilda perreini,Black-tailed Waxbill
Black-tailed Whistler,3.1,Pachycephala melanura,Black-tailed Whistler
Black-thighed Falconet,16,Microhierax fringillarius,Black-thighed Falconet
Black-thighed Grosbeak,7.5,Pheucticus tibialis,Black-thighed Grosbeak
Black-thighed Puffleg,NA,Eriocnemis derbyi,Black-thighed Puffleg
Black-throated Accentor,9.5,Prunella atrogularis,Black-throated Accentor
Black-throated Antbird,0.30000000000000004,Myrmophylax atrothorax,Black-throated Antbird
Black-throated Antshrike,NA,Frederickena viridis,Black-throated Antshrike
Black-throated Apalis,NA,Apalis jacksoni,Black-throated Apalis
Black-throated Babbler,NA,Stachyris nigricollis,Black-throated Babbler
Black-throated Barbet,NA,Tricholaema melanocephala,Black-throated Barbet
Black-throated Blue Warbler,1.19,Setophaga caerulescens,Black-throated Blue Warbler
Black-throated Bobwhite,0,Colinus nigrogularis,Black-throated Bobwhite
Black-throated Brilliant,NA,Heliodoxa schreibersii,Black-throated Brilliant
Black-throated Bushtit,9,Aegithalos concinnus,Black-throated Bushtit
Black-throated Canary,8.5,Crithagra atrogularis,Black-throated Canary
Black-throated Coucal,NA,Centropus leucogaster,Black-throated Coucal
Black-throated Finch,NA,Poephila cincta,Black-throated Finch
Black-throated Flowerpiercer,0.75,Diglossa brunneiventris,Black-throated Flowerpiercer
Black-throated Green Warbler,12.25,Setophaga virens,Black-throated Green Warbler
Black-throated Grey Warbler,5.074999999999999,Setophaga nigrescens,Black-throated Grey Warbler
Black-throated Grosbeak,NA,Saltator fuliginosus,Black-throated Grosbeak
Black-throated Hermit,NA,Phaethornis atrimentalis,Black-throated Hermit
Black-throated Honeyeater,NA,Caligavis subfrenata,Black-throated Honeyeater
Black-throated Huet-huet,NA,Pteroptochos tarnii,Black-throated Huet-huet
Black-throated Jay,NA,Cyanolyca pumilo,Black-throated Jay
Black-throated Laughingthrush,NA,Garrulax chinensis,Black-throated Laughingthrush
Black-throated Magpie-jay,NA,Cyanocorax colliei,Black-throated Magpie-jay
Black-throated Mango,8.5,Anthracothorax nigricollis,Black-throated Mango
Black-throated Munia,NA,Lonchura kelaarti,Black-throated Munia
Black-throated Parrotbill,NA,Suthora nipalensis,Black-throated Parrotbill
Black-throated Prinia,NA,Prinia atrogularis,Black-throated Prinia
Black-throated Robin,NA,Plesiodryas albonotata,Black-throated Robin
Black-throated Saltator,0.45,Saltator atricollis,Black-throated Saltator
Black-throated Shrike-tanager,NA,Lanio aurantius,Black-throated Shrike-tanager
Black-throated Shrikebill,NA,Clytorhynchus nigrogularis,Black-throated Shrikebill
Black-throated Sparrow,0.504,Amphispiza bilineata,Black-throated Sparrow
Black-throated Spinetail,NA,Synallaxis castanea,Black-throated Spinetail
Black-throated Sunbird,NA,Aethopyga saturata,Black-throated Sunbird
Black-throated Thistletail,NA,Asthenes harterti,Black-throated Thistletail
Black-throated Thrush,NA,Turdus atrogularis,Black-throated Thrush
Black-throated Tody-tyrant,NA,Hemitriccus granadensis,Black-throated Tody-tyrant
Black-throated Toucanet,NA,Aulacorhynchus atrogularis,Black-throated Toucanet
Black-throated Trogon,3.75,Trogon rufus,Black-throated Trogon
Black-throated Wattle-eye,5.2,Platysteira peltata,Black-throated Wattle-eye
Black-throated Wheatear,NA,Oenanthe seebohmi,Black-throated Wheatear
Black-throated Wren,NA,Pheugopedius atrogularis,Black-throated Wren
Black-throated Wren-babbler,NA,Turdinus atrigularis,Black-throated Wren-babbler
Black-tipped Cotinga,NA,Carpodectes hopkei,Black-tipped Cotinga
Black-tipped Monarch,1.2000000000000002,Symposiachrus loricatus,Black-tipped Monarch
Black-vented Oriole,NA,Icterus wagleri,Black-vented Oriole
Black-vented Shearwater,0,Puffinus opisthomelas,Black-vented Shearwater
Black-whiskered Vireo,4.9,Vireo altiloquus,Black-whiskered Vireo
Black-winged Babbler,NA,Turdoides somervillei,Black-winged Babbler
Black-winged Bishop,2.3,Euplectes hordeaceus,Black-winged Bishop
Black-winged Cuckoo-shrike,23,Lalage melaschistos,Black-winged Cuckoo-shrike
Black-winged Flycatcher-shrike,27,Hemipus hirundinaceus,Black-winged Flycatcher-shrike
Black-winged Ground-dove,1.5,Metriopelia melanoptera,Black-winged Ground-dove
Black-winged Kite,13.25,Elanus caeruleus,Black-winged Kite
Black-winged Lapwing,0,Vanellus melanopterus,Black-winged Lapwing
Black-winged Lory,NA,Eos cyanogenia,Black-winged Lory
Black-winged Lovebird,NA,Agapornis taranta,Black-winged Lovebird
Black-winged Monarch,31.5,Monarcha frater,Black-winged Monarch
Black-winged Myna,NA,Acridotheres melanopterus,Black-winged Myna
Black-winged Oriole,33,Oriolus nigripennis,Black-winged Oriole
Black-winged Parrot,NA,Hapalopsittaca melanotis,Black-winged Parrot
Black-winged Petrel,NA,Pterodroma nigripennis,Black-winged Petrel
Black-winged Pratincole,0,Glareola nordmanni,Black-winged Pratincole
Black-winged Saltator,NA,Saltator atripennis,Black-winged Saltator
Black-winged Snowfinch,NA,Montifringilla adamsi,Black-winged Snowfinch
Black-winged Stilt,0,Himantopus himantopus,Black-winged Stilt
Black-winged Trumpeter,NA,Psophia obscura,Black-winged Trumpeter
Blackburnian Warbler,14.35,Setophaga fusca,Blackburnian Warbler
Blackcap Babbler,NA,Turdoides reinwardtii,Blackcap Babbler
Blackish Antbird,NA,Cercomacroides nigrescens,Blackish Antbird
Blackish Chat-tyrant,NA,Ochthoeca nigrita,Blackish Chat-tyrant
Blackish Cicadabird,NA,Edolisoma coerulescens,Blackish Cicadabird
Blackish Cinclodes,NA,Cinclodes antarcticus,Blackish Cinclodes
Blackish Nightjar,0,Nyctipolus nigrescens,Blackish Nightjar
Blackish Oystercatcher,0,Haematopus ater,Blackish Oystercatcher
Blackish Pewee,22.5,Contopus nigrescens,Blackish Pewee
Blackish Rail,NA,Pardirallus nigricans,Blackish Rail
Blackish Tapaculo,NA,Scytalopus latrans,Blackish Tapaculo
Blackish-breasted Babbler,NA,Stachyris humei,Blackish-breasted Babbler
Blackish-grey Antshrike,2,Thamnophilus nigrocinereus,Blackish-grey Antshrike
Blackish-headed Spinetail,6.5,Synallaxis tithys,Blackish-headed Spinetail
Blackpoll Warbler,3.075,Setophaga striata,Blackpoll Warbler
Blacksmith Lapwing,0,Vanellus armatus,Blacksmith Lapwing
Blackstart,NA,Oenanthe melanura,Blackstart
Blackthroat,NA,Calliope obscura,Blackthroat
Blakiston's Eagle-owl,NA,Bubo blakistoni,Blakiston's Eagle-owl
Blanford's Rosefinch,11,Agraphospiza rubescens,Blanford's Rosefinch
Blanford’s Lark,NA,Calandrella blanfordi,Blanford’s Lark
Blaze-winged Parakeet,NA,Pyrrhura devillei,Blaze-winged Parakeet
Bleating Camaroptera,NA,Camaroptera brachyura,Bleating Camaroptera
Blond-crested Woodpecker,NA,Celeus flavescens,Blond-crested Woodpecker
Blood Pheasant,0,Ithaginis cruentus,Blood Pheasant
Blood-breasted Flowerpecker,9.5,Dicaeum sanguinolentum,Blood-breasted Flowerpecker
Blood-colored Woodpecker,2.0999999999999996,Veniliornis sanguineus,Blood-colored Woodpecker
Blossom-headed Parakeet,NA,Psittacula roseata,Blossom-headed Parakeet
Blossomcrown,NA,Anthocephala floriceps,Blossomcrown
Blue Bird-of-paradise,13.5,Paradisornis rudolphi,Blue Bird-of-paradise
Blue Bunting,NA,Cyanocompsa parellina,Blue Bunting
Blue Bustard,0,Eupodotis caerulescens,Blue Bustard
Blue Cotinga,42,Cotinga nattererii,Blue Cotinga
Blue Coua,8.5,Coua caerulea,Blue Coua
Blue Crane,0,Anthropoides paradiseus,Blue Crane
Blue Cuckoo-shrike,NA,Cyanograucalus azureus,Blue Cuckoo-shrike
Blue Dacnis,9.5,Dacnis cayana,Blue Dacnis
Blue Duck,NA,Hymenolaimus malacorhynchos,Blue Duck
Blue Eared-pheasant,0,Crossoptilon auritum,Blue Eared-pheasant
Blue Finch,NA,Porphyrospiza caerulescens,Blue Finch
Blue Grosbeak,4.1,Passerina caerulea,Blue Grosbeak
Blue Ground-dove,6.375,Claravis pretiosa,Blue Ground-dove
Blue Jay,16,Cyanocitta cristata,Blue Jay
Blue Jewel-babbler,0,Ptilorrhoa caerulescens,Blue Jewel-babbler
Blue Lorikeet,16.5,Vini peruviana,Blue Lorikeet
Blue Manakin,NA,Chiroxiphia caudata,Blue Manakin
Blue Mockingbird,2.325,Melanotis caerulescens,Blue Mockingbird
Blue Mountain Vireo,NA,Vireo osburni,Blue Mountain Vireo
Blue Noddy,NA,Procelsterna cerulea,Blue Noddy
Blue Nuthatch,NA,Sitta azurea,Blue Nuthatch
Blue Paradise-flycatcher,3,Terpsiphone cyanescens,Blue Paradise-flycatcher
Blue Petrel,0,Halobaena caerulea,Blue Petrel
Blue Pitta,2,Hydrornis cyaneus,Blue Pitta
Blue Rock-thrush,NA,Monticola solitarius,Blue Rock-thrush
Blue Seedeater,3.5999999999999996,Amaurospiza moesta,Blue Seedeater
Blue Swallow,NA,Hirundo atrocaerulea,Blue Swallow
Blue Waxbill,3,Uraeginthus angolensis,Blue Waxbill
Blue Whistling-thrush,NA,Myophonus caeruleus,Blue Whistling-thrush
Blue-and-black Tanager,6.75,Tangara vassorii,Blue-and-black Tanager
Blue-and-gold Tanager,16,Bangsia arcaei,Blue-and-gold Tanager
Blue-and-white Flycatcher,NA,Cyanoptila cyanomelana,Blue-and-white Flycatcher
Blue-and-white Kingfisher,NA,Todiramphus diops,Blue-and-white Kingfisher
Blue-and-white Mockingbird,3.35,Melanotis hypoleucus,Blue-and-white Mockingbird
Blue-and-white Swallow,NA,Pygochelidon cyanoleuca,Blue-and-white Swallow
Blue-and-yellow Macaw,NA,Ara ararauna,Blue-and-yellow Macaw
Blue-and-yellow Tanager,3,Pipraeidea bonariensis,Blue-and-yellow Tanager
Blue-backed Conebill,NA,Conirostrum sitticolor,Blue-backed Conebill
Blue-backed Manakin,2,Chiroxiphia pareola,Blue-backed Manakin
Blue-backed Parrot,55,Tanygnathus sumatranus,Blue-backed Parrot
Blue-backed Tanager,NA,Cyanicterus cyanicterus,Blue-backed Tanager
Blue-banded Pitta,1.75,Erythropitta arquata,Blue-banded Pitta
Blue-banded Toucanet,NA,Aulacorhynchus coeruleicinctis,Blue-banded Toucanet
Blue-bearded Bee-eater,NA,Nyctyornis athertoni,Blue-bearded Bee-eater
Blue-bearded Helmetcrest,NA,Oxypogon cyanolaemus,Blue-bearded Helmetcrest
Blue-bellied Parrot,NA,Triclaria malachitacea,Blue-bellied Parrot
Blue-bellied Roller,15,Coracias cyanogaster,Blue-bellied Roller
Blue-billed Black-tyrant,NA,Knipolegus cyanirostris,Blue-billed Black-tyrant
Blue-billed Curassow,3.9,Crax alberti,Blue-billed Curassow
Blue-billed Duck,NA,Oxyura australis,Blue-billed Duck
Blue-billed Malimbe,5.4,Malimbus nitens,Blue-billed Malimbe
Blue-black Grassquit,1.7999999999999998,Volatinia jacarina,Blue-black Grassquit
Blue-black Grosbeak,2.2,Cyanoloxia cyanoides,Blue-black Grosbeak
Blue-black Kingfisher,NA,Todiramphus nigrocyaneus,Blue-black Kingfisher
Blue-breasted Bee-eater,NA,Merops variegatus,Blue-breasted Bee-eater
Blue-breasted Blue-flycatcher,NA,Cyornis herioti,Blue-breasted Blue-flycatcher
Blue-breasted Fairy-wren,0.56,Malurus pulcherrimus,Blue-breasted Fairy-wren
Blue-breasted Kingfisher,10,Halcyon malimbica,Blue-breasted Kingfisher
Blue-breasted Parrot,NA,Pionus reichenowi,Blue-breasted Parrot
Blue-browed Tanager,NA,Tangara cyanotis,Blue-browed Tanager
Blue-capped Cordon-bleu,NA,Uraeginthus cyanocephalus,Blue-capped Cordon-bleu
Blue-capped Fruit-dove,NA,Ptilinopus monacha,Blue-capped Fruit-dove
Blue-capped Ifrit,5.4,Ifrita kowaldi,Blue-capped Ifrit
Blue-capped Kingfisher,NA,Actenoides hombroni,Blue-capped Kingfisher
Blue-capped Puffleg,NA,Eriocnemis glaucopoides,Blue-capped Puffleg
Blue-capped Redstart,NA,Phoenicurus coeruleocephala,Blue-capped Redstart
Blue-capped Rock-thrush,NA,Monticola cinclorhyncha,Blue-capped Rock-thrush
Blue-capped Tanager,12,Sporathraupis cyanocephala,Blue-capped Tanager
Blue-cheeked Amazon,NA,Amazona dufresniana,Blue-cheeked Amazon
Blue-cheeked Bee-eater,NA,Merops persicus,Blue-cheeked Bee-eater
Blue-chested Hummingbird,4.5,Amazilia amabilis,Blue-chested Hummingbird
Blue-chinned Barbet,NA,Eubucco glaucogularis,Blue-chinned Barbet
Blue-chinned Emerald,1.5,Chlorostilbon notatus,Blue-chinned Emerald
Blue-collared Parrot,15,Geoffroyus simplex,Blue-collared Parrot
Blue-cowled Barbet,NA,Eubucco steerii,Blue-cowled Barbet
Blue-crowned Chlorophonia,4.5,Chlorophonia occipitalis,Blue-crowned Chlorophonia
Blue-crowned Hanging-parrot,14,Loriculus galgulus,Blue-crowned Hanging-parrot
Blue-crowned Laughingthrush,11.5,Garrulax courtoisi,Blue-crowned Laughingthrush
Blue-crowned Lorikeet,NA,Vini australis,Blue-crowned Lorikeet
Blue-crowned Manakin,1.35,Lepidothrix coronata,Blue-crowned Manakin
Blue-crowned Motmot,0,Momotus coeruliceps,Blue-crowned Motmot
Blue-crowned Parakeet,NA,Psittacara acuticaudatus,Blue-crowned Parakeet
Blue-crowned Racquet-tail,NA,Prioniturus discurus,Blue-crowned Racquet-tail
Blue-crowned Trogon,3,Trogon curucui,Blue-crowned Trogon
Blue-diademed Motmot,0,Momotus lessonii,Blue-diademed Motmot
Blue-eared Barbet,15.5,Psilopogon cyanotis,Blue-eared Barbet
Blue-eared Kingfisher,NA,Alcedo meninting,Blue-eared Kingfisher
Blue-eared Lory,NA,Eos semilarvata,Blue-eared Lory
Blue-eyed Cockatoo,38,Cacatua ophthalmica,Blue-eyed Cockatoo
Blue-eyed Ground-dove,NA,Columbina cyanopis,Blue-eyed Ground-dove
Blue-faced Honeyeater,9,Entomyzon cyanotis,Blue-faced Honeyeater
Blue-faced Malkoha,2,Phaenicophaeus viridirostris,Blue-faced Malkoha
